state_index,episode,step,best_action,reward,done,action__minatar_space_invaders_seed_0,action__minatar_space_invaders_seed_0_steps_4980736,action__minatar_space_invaders_seed_0_steps_9961472,action__minatar_space_invaders_seed_0_steps_14942208,action__minatar_space_invaders_seed_0_steps_19922944,matching_models,matching_fraction,top_suffix_agree,category
0,0,0,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
1,1,0,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
2,0,1,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
3,1,1,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
4,0,2,0,0.0,False,0,1,0,0,0,4,0.8,3,top_3
5,1,2,0,0.0,False,0,1,0,0,0,4,0.8,3,top_3
6,0,3,0,0.0,False,0,1,0,0,0,4,0.8,3,top_3
7,1,3,0,0.0,False,0,2,3,3,0,2,0.4,1,best_only
8,0,4,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
9,1,4,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
10,0,5,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
11,1,5,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
12,0,6,0,0.0,False,0,1,0,0,0,4,0.8,3,top_3
13,1,6,0,0.0,False,0,2,2,2,0,2,0.4,1,best_only
14,0,7,0,0.0,False,0,1,0,0,0,4,0.8,3,top_3
15,1,7,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
16,0,8,0,0.0,False,0,1,0,0,0,4,0.8,3,top_3
17,1,8,0,0.0,False,0,2,2,2,0,2,0.4,1,best_only
18,0,9,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
19,1,9,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
20,0,10,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
21,1,10,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
22,0,11,1,0.0,False,1,1,0,1,1,4,0.8,2,top_2
23,1,11,0,0.0,False,0,2,2,2,0,2,0.4,1,best_only
24,0,12,0,0.0,False,0,2,0,0,0,4,0.8,3,top_3
25,1,12,0,0.0,False,0,2,2,2,0,2,0.4,1,best_only
26,0,13,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
27,1,13,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
28,0,14,1,0.0,False,1,1,3,1,1,4,0.8,2,top_2
29,1,14,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
30,0,15,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
31,1,15,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
32,0,16,3,1.0,False,3,1,3,3,3,4,0.8,3,top_3
33,1,16,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
34,0,17,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
35,1,17,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
36,0,18,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
37,1,18,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
38,0,19,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
39,1,19,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
40,0,20,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
41,1,20,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
42,0,21,3,0.0,False,3,1,1,3,3,3,0.6,2,top_2
43,1,21,3,0.0,False,3,1,3,3,3,4,0.8,3,top_3
44,0,22,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
45,1,22,0,0.0,False,0,2,2,2,0,2,0.4,1,best_only
46,0,23,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
47,1,23,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
48,0,24,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
49,1,24,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
50,0,25,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
51,1,25,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
52,0,26,3,1.0,False,3,1,3,3,3,4,0.8,3,top_3
53,1,26,1,1.0,False,1,1,1,1,1,5,1.0,5,all_models
54,0,27,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
