Job:  minatar-breakout-N4 (44484573)
Node: holygpu8a15301.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-breakout' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=4 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Breakout env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-breakout/eval_R': 0.4599999785423279, 'steps': 0}
{'sec': 0.6692132949829102, 'minatar-breakout/eval_R': 0.6800000071525574, 'steps': 2097152}
{'sec': 1.3345983028411865, 'minatar-breakout/eval_R': 1.0399999618530273, 'steps': 4194304}
{'sec': 1.9998276233673096, 'minatar-breakout/eval_R': 0.9699999690055847, 'steps': 6291456}
{'sec': 2.667612075805664, 'minatar-breakout/eval_R': 1.5399999618530273, 'steps': 8388608}
{'sec': 3.334050416946411, 'minatar-breakout/eval_R': 2.0999999046325684, 'steps': 10485760}
{'sec': 4.001183271408081, 'minatar-breakout/eval_R': 2.5399999618530273, 'steps': 12582912}
{'sec': 4.667536735534668, 'minatar-breakout/eval_R': 2.990000009536743, 'steps': 14680064}
{'sec': 5.3334715366363525, 'minatar-breakout/eval_R': 3.2699999809265137, 'steps': 16777216}
{'sec': 5.999183654785156, 'minatar-breakout/eval_R': 3.179999828338623, 'steps': 18874368}
{'sec': 6.665041923522949, 'minatar-breakout/eval_R': 3.5799999237060547, 'steps': 20971520}
{'sec': 7.330199241638184, 'minatar-breakout/eval_R': 4.110000133514404, 'steps': 23068672}
{'sec': 7.995244979858398, 'minatar-breakout/eval_R': 4.440000057220459, 'steps': 25165824}
{'sec': 8.660428285598755, 'minatar-breakout/eval_R': 4.559999942779541, 'steps': 27262976}
{'sec': 9.326520681381226, 'minatar-breakout/eval_R': 5.199999809265137, 'steps': 29360128}
{'sec': 9.992835760116577, 'minatar-breakout/eval_R': 5.460000038146973, 'steps': 31457280}
{'sec': 10.658890724182129, 'minatar-breakout/eval_R': 6.359999656677246, 'steps': 33554432}
{'sec': 11.32538366317749, 'minatar-breakout/eval_R': 7.12999963760376, 'steps': 35651584}
{'sec': 11.991851329803467, 'minatar-breakout/eval_R': 6.589999675750732, 'steps': 37748736}
{'sec': 12.657697916030884, 'minatar-breakout/eval_R': 7.5, 'steps': 39845888}
{'sec': 13.323990106582642, 'minatar-breakout/eval_R': 8.420000076293945, 'steps': 41943040}
{'sec': 13.988978147506714, 'minatar-breakout/eval_R': 8.979999542236328, 'steps': 44040192}
{'sec': 14.653886556625366, 'minatar-breakout/eval_R': 9.429999351501465, 'steps': 46137344}
{'sec': 15.319963693618774, 'minatar-breakout/eval_R': 10.550000190734863, 'steps': 48234496}
{'sec': 15.985814332962036, 'minatar-breakout/eval_R': 10.319999694824219, 'steps': 50331648}
{'sec': 16.651408433914185, 'minatar-breakout/eval_R': 10.729999542236328, 'steps': 52428800}
{'sec': 17.317764043807983, 'minatar-breakout/eval_R': 12.889999389648438, 'steps': 54525952}
{'sec': 17.98408532142639, 'minatar-breakout/eval_R': 12.0, 'steps': 56623104}
{'sec': 18.650158882141113, 'minatar-breakout/eval_R': 12.809999465942383, 'steps': 58720256}
{'sec': 19.317896604537964, 'minatar-breakout/eval_R': 14.069999694824219, 'steps': 60817408}
{'sec': 19.984763145446777, 'minatar-breakout/eval_R': 13.619999885559082, 'steps': 62914560}
{'sec': 20.65113401412964, 'minatar-breakout/eval_R': 15.420000076293945, 'steps': 65011712}
{'sec': 21.317311763763428, 'minatar-breakout/eval_R': 15.880000114440918, 'steps': 67108864}
{'sec': 21.983341932296753, 'minatar-breakout/eval_R': 14.429999351501465, 'steps': 69206016}
{'sec': 22.649822473526, 'minatar-breakout/eval_R': 15.869999885559082, 'steps': 71303168}
{'sec': 23.31598162651062, 'minatar-breakout/eval_R': 18.43000030517578, 'steps': 73400320}
{'sec': 23.982192516326904, 'minatar-breakout/eval_R': 18.920000076293945, 'steps': 75497472}
{'sec': 24.648338556289673, 'minatar-breakout/eval_R': 18.420000076293945, 'steps': 77594624}
{'sec': 25.31581449508667, 'minatar-breakout/eval_R': 17.579999923706055, 'steps': 79691776}
{'sec': 25.98223352432251, 'minatar-breakout/eval_R': 19.529998779296875, 'steps': 81788928}
{'sec': 26.64830708503723, 'minatar-breakout/eval_R': 19.6299991607666, 'steps': 83886080}
{'sec': 27.314804792404175, 'minatar-breakout/eval_R': 18.529998779296875, 'steps': 85983232}
{'sec': 27.981005668640137, 'minatar-breakout/eval_R': 19.520000457763672, 'steps': 88080384}
{'sec': 28.646976709365845, 'minatar-breakout/eval_R': 21.43000030517578, 'steps': 90177536}
{'sec': 29.313225269317627, 'minatar-breakout/eval_R': 20.75, 'steps': 92274688}
{'sec': 29.979466438293457, 'minatar-breakout/eval_R': 21.329999923706055, 'steps': 94371840}
{'sec': 30.646697759628296, 'minatar-breakout/eval_R': 21.799999237060547, 'steps': 96468992}
{'sec': 31.312931776046753, 'minatar-breakout/eval_R': 22.76999855041504, 'steps': 98566144}
{'sec': 31.979353427886963, 'minatar-breakout/eval_R': 20.850000381469727, 'steps': 100663296}
{'sec': 32.64534306526184, 'minatar-breakout/eval_R': 22.6299991607666, 'steps': 102760448}
{'sec': 33.31142830848694, 'minatar-breakout/eval_R': 22.09000015258789, 'steps': 104857600}
{'sec': 33.97763442993164, 'minatar-breakout/eval_R': 22.26999855041504, 'steps': 106954752}
{'sec': 34.643531799316406, 'minatar-breakout/eval_R': 22.670000076293945, 'steps': 109051904}
{'sec': 35.30892562866211, 'minatar-breakout/eval_R': 22.479999542236328, 'steps': 111149056}
{'sec': 35.97522950172424, 'minatar-breakout/eval_R': 20.81999969482422, 'steps': 113246208}
{'sec': 36.64159893989563, 'minatar-breakout/eval_R': 24.40999984741211, 'steps': 115343360}
{'sec': 37.30788230895996, 'minatar-breakout/eval_R': 22.35999870300293, 'steps': 117440512}
{'sec': 37.974159955978394, 'minatar-breakout/eval_R': 22.76999855041504, 'steps': 119537664}
{'sec': 38.64012026786804, 'minatar-breakout/eval_R': 21.40999984741211, 'steps': 121634816}
{'sec': 39.30619668960571, 'minatar-breakout/eval_R': 23.689998626708984, 'steps': 123731968}
{'sec': 39.972341537475586, 'minatar-breakout/eval_R': 22.35999870300293, 'steps': 125829120}
{'sec': 40.637943506240845, 'minatar-breakout/eval_R': 23.5, 'steps': 127926272}
{'sec': 41.30510997772217, 'minatar-breakout/eval_R': 23.399999618530273, 'steps': 130023424}
{'sec': 41.971527338027954, 'minatar-breakout/eval_R': 22.81999969482422, 'steps': 132120576}
{'sec': 42.63670015335083, 'minatar-breakout/eval_R': 23.600000381469727, 'steps': 134217728}
{'sec': 43.302793979644775, 'minatar-breakout/eval_R': 24.84000015258789, 'steps': 136314880}
{'sec': 43.968971490859985, 'minatar-breakout/eval_R': 23.6299991607666, 'steps': 138412032}
{'sec': 44.633641958236694, 'minatar-breakout/eval_R': 22.479999542236328, 'steps': 140509184}
{'sec': 45.29867720603943, 'minatar-breakout/eval_R': 24.299999237060547, 'steps': 142606336}
{'sec': 45.96346879005432, 'minatar-breakout/eval_R': 24.0, 'steps': 144703488}
{'sec': 46.629316091537476, 'minatar-breakout/eval_R': 23.59000015258789, 'steps': 146800640}
{'sec': 47.2961106300354, 'minatar-breakout/eval_R': 24.619998931884766, 'steps': 148897792}
{'sec': 47.96185851097107, 'minatar-breakout/eval_R': 25.90999984741211, 'steps': 150994944}
{'sec': 48.62796640396118, 'minatar-breakout/eval_R': 23.579999923706055, 'steps': 153092096}
{'sec': 49.293487310409546, 'minatar-breakout/eval_R': 25.56999969482422, 'steps': 155189248}
{'sec': 49.95902061462402, 'minatar-breakout/eval_R': 31.139999389648438, 'steps': 157286400}
{'sec': 50.624579191207886, 'minatar-breakout/eval_R': 27.779998779296875, 'steps': 159383552}
{'sec': 51.28955268859863, 'minatar-breakout/eval_R': 28.59000015258789, 'steps': 161480704}
{'sec': 51.95554041862488, 'minatar-breakout/eval_R': 33.31999969482422, 'steps': 163577856}
{'sec': 52.62117147445679, 'minatar-breakout/eval_R': 31.049999237060547, 'steps': 165675008}
{'sec': 53.286864042282104, 'minatar-breakout/eval_R': 33.939998626708984, 'steps': 167772160}
{'sec': 53.952226638793945, 'minatar-breakout/eval_R': 34.380001068115234, 'steps': 169869312}
{'sec': 54.61854362487793, 'minatar-breakout/eval_R': 30.119998931884766, 'steps': 171966464}
{'sec': 55.28480577468872, 'minatar-breakout/eval_R': 30.90999984741211, 'steps': 174063616}
{'sec': 55.950711488723755, 'minatar-breakout/eval_R': 35.099998474121094, 'steps': 176160768}
{'sec': 56.616215229034424, 'minatar-breakout/eval_R': 32.91999816894531, 'steps': 178257920}
{'sec': 57.28190517425537, 'minatar-breakout/eval_R': 32.63999938964844, 'steps': 180355072}
{'sec': 57.948041677474976, 'minatar-breakout/eval_R': 34.57999801635742, 'steps': 182452224}
{'sec': 58.613781690597534, 'minatar-breakout/eval_R': 35.20000076293945, 'steps': 184549376}
{'sec': 59.27967023849487, 'minatar-breakout/eval_R': 40.31999969482422, 'steps': 186646528}
{'sec': 59.9455943107605, 'minatar-breakout/eval_R': 42.56999969482422, 'steps': 188743680}
{'sec': 60.61258840560913, 'minatar-breakout/eval_R': 30.309999465942383, 'steps': 190840832}
{'sec': 61.278788328170776, 'minatar-breakout/eval_R': 35.02000045776367, 'steps': 192937984}
{'sec': 61.94519066810608, 'minatar-breakout/eval_R': 30.81999969482422, 'steps': 195035136}
{'sec': 62.61063504219055, 'minatar-breakout/eval_R': 37.040000915527344, 'steps': 197132288}
{'sec': 63.27594780921936, 'minatar-breakout/eval_R': 34.29999923706055, 'steps': 199229440}
{'sec': 63.94128680229187, 'minatar-breakout/eval_R': 38.30999755859375, 'steps': 201326592}
{'sec': 64.60745310783386, 'minatar-breakout/eval_R': 38.75, 'steps': 203423744}
{'sec': 65.27390909194946, 'minatar-breakout/eval_R': 33.52000045776367, 'steps': 205520896}
{'sec': 65.9392819404602, 'minatar-breakout/eval_R': 33.869998931884766, 'steps': 207618048}
{'sec': 66.60503959655762, 'minatar-breakout/eval_R': 42.98999786376953, 'steps': 209715200}
{'sec': 67.27102732658386, 'minatar-breakout/eval_R': 41.84000015258789, 'steps': 211812352}
