Job:  minatar-freeway-N3 (44484566)
Node: holygpu8a11401.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=3 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-freeway/eval_R': 1.3700000047683716, 'steps': 0}
{'sec': 0.6521070003509521, 'minatar-freeway/eval_R': 2.7200000286102295, 'steps': 1572864}
{'sec': 1.3007841110229492, 'minatar-freeway/eval_R': 3.6599998474121094, 'steps': 3145728}
{'sec': 1.9493675231933594, 'minatar-freeway/eval_R': 5.829999923706055, 'steps': 4718592}
{'sec': 2.598261594772339, 'minatar-freeway/eval_R': 7.96999979019165, 'steps': 6291456}
{'sec': 3.2478625774383545, 'minatar-freeway/eval_R': 11.149999618530273, 'steps': 7864320}
{'sec': 3.8968544006347656, 'minatar-freeway/eval_R': 13.710000038146973, 'steps': 9437184}
{'sec': 4.545672178268433, 'minatar-freeway/eval_R': 15.949999809265137, 'steps': 11010048}
{'sec': 5.194464445114136, 'minatar-freeway/eval_R': 19.0, 'steps': 12582912}
{'sec': 5.845596551895142, 'minatar-freeway/eval_R': 20.939998626708984, 'steps': 14155776}
{'sec': 6.494302988052368, 'minatar-freeway/eval_R': 23.1299991607666, 'steps': 15728640}
{'sec': 7.143028736114502, 'minatar-freeway/eval_R': 26.189998626708984, 'steps': 17301504}
{'sec': 7.792182922363281, 'minatar-freeway/eval_R': 28.420000076293945, 'steps': 18874368}
{'sec': 8.440728425979614, 'minatar-freeway/eval_R': 30.09000015258789, 'steps': 20447232}
{'sec': 9.089527130126953, 'minatar-freeway/eval_R': 31.760000228881836, 'steps': 22020096}
{'sec': 9.73865032196045, 'minatar-freeway/eval_R': 33.89999771118164, 'steps': 23592960}
{'sec': 10.387074708938599, 'minatar-freeway/eval_R': 36.79999923706055, 'steps': 25165824}
{'sec': 11.037197828292847, 'minatar-freeway/eval_R': 37.0, 'steps': 26738688}
{'sec': 11.686124086380005, 'minatar-freeway/eval_R': 37.7599983215332, 'steps': 28311552}
{'sec': 12.335065364837646, 'minatar-freeway/eval_R': 40.59000015258789, 'steps': 29884416}
{'sec': 12.983427286148071, 'minatar-freeway/eval_R': 41.79999923706055, 'steps': 31457280}
{'sec': 13.632975101470947, 'minatar-freeway/eval_R': 41.79999923706055, 'steps': 33030144}
{'sec': 14.282272338867188, 'minatar-freeway/eval_R': 44.48999786376953, 'steps': 34603008}
{'sec': 14.93109917640686, 'minatar-freeway/eval_R': 44.66999816894531, 'steps': 36175872}
{'sec': 15.580219745635986, 'minatar-freeway/eval_R': 46.05999755859375, 'steps': 37748736}
{'sec': 16.22856879234314, 'minatar-freeway/eval_R': 47.18000030517578, 'steps': 39321600}
{'sec': 16.877629041671753, 'minatar-freeway/eval_R': 48.15999984741211, 'steps': 40894464}
{'sec': 17.52644681930542, 'minatar-freeway/eval_R': 48.88999938964844, 'steps': 42467328}
{'sec': 18.175873517990112, 'minatar-freeway/eval_R': 49.40999984741211, 'steps': 44040192}
{'sec': 18.825133323669434, 'minatar-freeway/eval_R': 50.64999771118164, 'steps': 45613056}
{'sec': 19.47423267364502, 'minatar-freeway/eval_R': 50.73999786376953, 'steps': 47185920}
{'sec': 20.122920036315918, 'minatar-freeway/eval_R': 51.80999755859375, 'steps': 48758784}
{'sec': 20.77321147918701, 'minatar-freeway/eval_R': 53.19999694824219, 'steps': 50331648}
{'sec': 21.423142910003662, 'minatar-freeway/eval_R': 52.029998779296875, 'steps': 51904512}
{'sec': 22.072516918182373, 'minatar-freeway/eval_R': 53.15999984741211, 'steps': 53477376}
{'sec': 22.72119641304016, 'minatar-freeway/eval_R': 52.40999984741211, 'steps': 55050240}
{'sec': 23.370830059051514, 'minatar-freeway/eval_R': 53.55999755859375, 'steps': 56623104}
{'sec': 24.019651651382446, 'minatar-freeway/eval_R': 54.5099983215332, 'steps': 58195968}
{'sec': 24.66853666305542, 'minatar-freeway/eval_R': 55.0099983215332, 'steps': 59768832}
{'sec': 25.317023754119873, 'minatar-freeway/eval_R': 55.689998626708984, 'steps': 61341696}
{'sec': 25.9653537273407, 'minatar-freeway/eval_R': 55.82999801635742, 'steps': 62914560}
{'sec': 26.61535954475403, 'minatar-freeway/eval_R': 55.779998779296875, 'steps': 64487424}
{'sec': 27.264283180236816, 'minatar-freeway/eval_R': 56.04999923706055, 'steps': 66060288}
{'sec': 27.91275429725647, 'minatar-freeway/eval_R': 55.96999740600586, 'steps': 67633152}
{'sec': 28.562309503555298, 'minatar-freeway/eval_R': 56.459999084472656, 'steps': 69206016}
{'sec': 29.21192502975464, 'minatar-freeway/eval_R': 57.07999801635742, 'steps': 70778880}
{'sec': 29.860753774642944, 'minatar-freeway/eval_R': 57.40999984741211, 'steps': 72351744}
{'sec': 30.509347438812256, 'minatar-freeway/eval_R': 57.62999725341797, 'steps': 73924608}
{'sec': 31.15765070915222, 'minatar-freeway/eval_R': 57.82999801635742, 'steps': 75497472}
{'sec': 31.80746293067932, 'minatar-freeway/eval_R': 57.64999771118164, 'steps': 77070336}
{'sec': 32.45708751678467, 'minatar-freeway/eval_R': 57.90999984741211, 'steps': 78643200}
{'sec': 33.10597085952759, 'minatar-freeway/eval_R': 58.349998474121094, 'steps': 80216064}
{'sec': 33.75494933128357, 'minatar-freeway/eval_R': 57.64999771118164, 'steps': 81788928}
{'sec': 34.404141664505005, 'minatar-freeway/eval_R': 58.029998779296875, 'steps': 83361792}
{'sec': 35.0530686378479, 'minatar-freeway/eval_R': 58.119998931884766, 'steps': 84934656}
{'sec': 35.70174694061279, 'minatar-freeway/eval_R': 58.529998779296875, 'steps': 86507520}
{'sec': 36.35058379173279, 'minatar-freeway/eval_R': 58.98999786376953, 'steps': 88080384}
{'sec': 37.00044560432434, 'minatar-freeway/eval_R': 59.43000030517578, 'steps': 89653248}
{'sec': 37.64974904060364, 'minatar-freeway/eval_R': 59.41999816894531, 'steps': 91226112}
{'sec': 38.29826545715332, 'minatar-freeway/eval_R': 59.38999938964844, 'steps': 92798976}
{'sec': 38.947248220443726, 'minatar-freeway/eval_R': 59.03999710083008, 'steps': 94371840}
{'sec': 39.596145153045654, 'minatar-freeway/eval_R': 59.30999755859375, 'steps': 95944704}
{'sec': 40.245009422302246, 'minatar-freeway/eval_R': 59.369998931884766, 'steps': 97517568}
{'sec': 40.89371585845947, 'minatar-freeway/eval_R': 59.57999801635742, 'steps': 99090432}
{'sec': 41.544026613235474, 'minatar-freeway/eval_R': 59.69999694824219, 'steps': 100663296}
{'sec': 42.19335865974426, 'minatar-freeway/eval_R': 59.75, 'steps': 102236160}
{'sec': 42.84193682670593, 'minatar-freeway/eval_R': 60.25, 'steps': 103809024}
{'sec': 43.49035286903381, 'minatar-freeway/eval_R': 59.65999984741211, 'steps': 105381888}
{'sec': 44.13931083679199, 'minatar-freeway/eval_R': 60.2599983215332, 'steps': 106954752}
{'sec': 44.78847146034241, 'minatar-freeway/eval_R': 60.47999954223633, 'steps': 108527616}
{'sec': 45.4372878074646, 'minatar-freeway/eval_R': 60.31999969482422, 'steps': 110100480}
{'sec': 46.086066246032715, 'minatar-freeway/eval_R': 59.91999816894531, 'steps': 111673344}
{'sec': 46.734740257263184, 'minatar-freeway/eval_R': 60.43000030517578, 'steps': 113246208}
{'sec': 47.38384032249451, 'minatar-freeway/eval_R': 60.39999771118164, 'steps': 114819072}
{'sec': 48.032418727874756, 'minatar-freeway/eval_R': 60.73999786376953, 'steps': 116391936}
{'sec': 48.68088150024414, 'minatar-freeway/eval_R': 61.04999923706055, 'steps': 117964800}
{'sec': 49.329631090164185, 'minatar-freeway/eval_R': 60.97999954223633, 'steps': 119537664}
{'sec': 49.9790678024292, 'minatar-freeway/eval_R': 60.52000045776367, 'steps': 121110528}
{'sec': 50.62878608703613, 'minatar-freeway/eval_R': 60.82999801635742, 'steps': 122683392}
{'sec': 51.27714514732361, 'minatar-freeway/eval_R': 61.1099967956543, 'steps': 124256256}
{'sec': 51.92599582672119, 'minatar-freeway/eval_R': 61.32999801635742, 'steps': 125829120}
{'sec': 52.57484006881714, 'minatar-freeway/eval_R': 61.38999938964844, 'steps': 127401984}
{'sec': 53.223854541778564, 'minatar-freeway/eval_R': 60.7599983215332, 'steps': 128974848}
